Source_ID PerErr ErrStd Fvar FvarErr Good Bad
2971212466 7.85 2.37 0.1275 0.0203 19 0
2925352689 23.44 8.71 nan nan 12 3
2925362319 7.1 3.0 0.061 0.02644 15 0
2925370402 13.74 7.12 0.0614 0.08185 16 0
2925372393 23.64 10.67 nan nan 14 2
2925373860 32.32 10.85 nan nan 7 9
2925375402 14.66 12.21 0.137 0.04807 16 0
2925376286 18.74 10.75 0.1624 0.13583 11 5
2925382434 16.96 13.28 0.2302 0.04757 14 2
2925385263 8.65 0.0 nan nan 1 15
2925390876 21.75 3.82 nan nan 10 6
2925403880 47.52 0.0 nan nan 1 15
2925409884 39.29 5.81 nan nan 2 14
2925410674 24.24 0.0 nan nan 1 14
2925420688 24.25 9.65 0.1916 0.12187 8 8
2925422614 11.6 4.62 0.071 0.04726 16 0
2925424201 23.05 11.7 nan nan 14 0
2925424419 11.37 5.65 0.0516 0.06235 14 0
2925437937 13.56 5.85 0.0292 0.13561 16 0
2925462019 13.92 9.63 0.0948 0.05392 16 0
2925471126 28.99 5.98 nan nan 11 5
2925473757 16.31 10.79 0.0783 0.07662 13 2
2925482434 24.83 6.88 nan nan 10 3
2925482770 57.1 0.0 nan nan 1 13
2940249446 16.33 9.74 0.1169 0.05517 19 0
2925490304 22.42 7.23 0.0966 0.13761 10 3
2939660801 17.93 6.8 nan nan 19 0
2925693212 29.71 7.79 nan nan 8 7
2939662073 6.95 1.76 nan nan 19 0
2970460831 13.3 7.61 nan nan 18 1
2970464914 8.7 3.03 0.1336 0.02221 18 0
2940260013 32.24 13.09 nan nan 12 7
2937895789 9.55 2.76 0.2225 0.02551 14 0
2925505192 12.21 8.89 0.1268 0.03705 16 0
2940268753 6.06 2.15 0.0538 0.01836 19 0
2937918319 18.31 7.04 nan nan 19 0
2938924759 12.73 9.58 0.1468 0.03018 22 0
2925507626 19.95 7.49 0.2555 0.07108 12 3
2940271483 17.64 9.79 0.1044 0.0715 17 1
2925508629 28.34 7.41 nan nan 7 9
2938937393 10.32 4.77 0.0771 0.03161 21 0
2970501798 18.5 9.43 0.1986 0.05668 18 2
2937935995 33.06 5.86 nan nan 19 0
2925707000 18.29 8.79 0.0791 0.08941 14 1
2970518535 22.1 8.63 nan nan 12 5
2938953902 15.74 5.02 0.0485 0.0818 22 0
2940279202 13.28 1.32 nan nan 19 0
2925718880 11.12 8.14 0.1185 0.03574 13 2
2938957668 16.46 7.85 nan nan 17 2
2939679498 22.93 8.86 0.0723 0.15657 16 3
2939682928 12.1 3.47 nan nan 19 0
2925515125 30.6 6.81 0.1302 0.2702 8 7
2938968217 6.23 3.18 0.1684 0.01313 22 0
2938000350 24.57 7.14 nan nan 12 8
2970556875 7.14 4.53 0.1016 0.02031 18 0
2938969014 21.22 9.7 nan nan 20 2
2925733402 14.94 7.02 0.1595 0.06326 15 0
2925733668 23.72 11.09 nan nan 12 3
2938049569 31.75 17.59 nan nan 9 7
2938053850 18.89 8.72 nan nan 16 0
2925733889 34.42 10.12 nan nan 6 9
2938969598 28.14 10.85 nan nan 16 5
2925523772 28.84 8.48 nan nan 5 11
2940327071 17.53 10.0 0.1156 0.06809 14 2
2939694336 14.95 6.85 nan nan 19 0
2970569124 14.21 12.03 0.1415 0.0416 19 1
2938970755 6.26 1.89 0.0713 0.01701 21 0
2940332489 38.78 2.06 nan nan 4 13
2938055829 28.7 12.98 nan nan 13 4
2940332845 38.94 10.59 0.0795 0.52286 9 8
2939722065 24.24 10.7 nan nan 18 1
2970571450 9.86 5.0 nan nan 16 2
2925551147 14.0 9.59 0.0211 0.20873 15 0
2938070615 25.9 6.2 nan nan 5 12
2940335936 23.12 10.76 0.1224 0.09297 15 2
2925740160 23.53 9.11 nan nan 13 2
2970573886 13.61 4.87 0.0924 0.0464 17 1
2938078264 23.4 15.07 0.3931 0.11026 8 9
2925551652 22.48 10.38 nan nan 11 4
2939745340 30.88 12.34 nan nan 2 17
2939746344 20.28 8.74 nan nan 18 0
2925750275 32.04 0.0 nan nan 1 15
2925753074 20.91 8.89 nan nan 12 4
2940351862 27.9 10.2 nan nan 12 5
2939752141 45.6 15.88 nan nan 7 12
2940361224 19.55 7.48 0.2338 0.06208 15 2
2938100034 14.72 5.28 nan nan 9 7
2939754189 16.73 5.12 nan nan 18 0
2925756177 nan nan 0 0 0 16
2938156599 13.84 5.52 0.1074 0.04706 16 0
2970608080 10.81 7.12 0.0488 0.06006 17 1
2939771369 33.21 10.77 nan nan 6 13
2925760568 20.83 9.55 0.1254 0.12091 11 4
2925765427 25.56 8.85 0.1284 0.15224 7 9
2940368660 44.44 2.71 0.0605 1.84739 2 15
2970611652 28.97 7.25 nan nan 12 6
2939776918 21.37 8.99 0.1247 0.08805 18 1
2925783603 23.93 7.7 nan nan 12 4
2938207388 19.47 2.15 nan nan 18 0
2940371981 23.8 10.91 nan nan 13 4
2925579897 19.35 7.21 0.0694 0.15278 13 2
2938219119 27.31 20.59 0.2771 0.0892 15 4
2925786555 15.67 9.35 0.2178 0.08547 10 3
2940373266 3.74 1.2 0.0554 0.01115 15 0
2970657028 22.06 8.22 nan nan 15 4
2940375255 34.3 20.34 nan nan 3 14
2939788540 9.52 4.44 0.1118 0.02574 19 0
2938228331 12.0 7.03 nan nan 17 1
2925594499 27.31 9.98 nan nan 12 3
2939791816 19.33 8.5 0.0414 0.14018 22 0
2970671786 32.83 13.01 nan nan 11 7
2925595174 12.8 5.23 nan nan 14 1
2940385121 20.61 10.83 nan nan 17 0
2938238274 40.2 4.53 nan nan 4 14
2940398921 31.46 8.97 nan nan 8 9
2938985411 15.77 5.85 nan nan 21 0
2938239966 24.57 8.27 nan nan 11 8
2925787914 34.84 8.64 nan nan 15 1
2925596771 17.99 9.55 nan nan 12 3
2939816166 30.71 5.9 0.1679 0.32751 3 13
2938989521 12.65 5.28 0.1766 0.02918 22 0
2925792482 12.96 9.56 0.0122 0.37616 12 4
2940401883 nan nan 0 0 0 17
2925793267 22.32 6.42 nan nan 11 3
2939823929 9.82 3.31 0.0696 0.03407 18 0
2925599608 23.69 6.63 nan nan 8 7
2939002332 13.89 7.08 0.1671 0.03544 21 0
2939854485 17.75 11.41 0.2235 0.04786 17 1
2940417776 18.68 5.15 nan nan 23 1
2970689746 8.9 5.38 nan nan 17 1
2939003048 18.68 9.61 0.2182 0.04224 21 1
2939006752 26.81 11.12 nan nan 16 3
2939856412 23.25 10.64 0.2237 0.09143 13 5
2940428978 14.93 2.89 nan nan 22 0
2970692560 14.0 7.17 0.0872 0.05034 18 1
2925606098 17.3 9.3 0.1583 0.05699 14 1
2939867925 15.82 6.43 0.1687 0.04436 17 1
2938254204 36.41 0.0 nan nan 1 17
2939006833 23.96 12.58 0.0805 0.1346 19 1
2925798495 18.98 6.1 0.0668 0.13117 14 2
2939010411 8.16 4.64 0.1679 0.01928 21 0
2970695909 24.94 8.07 0.2198 0.11623 13 6
2925807924 15.06 5.25 nan nan 11 1
2940439084 15.07 8.3 0.138 0.04748 20 2
2925606181 25.46 8.43 nan nan 11 4
2938255400 39.6 7.27 nan nan 5 14
2939017496 11.85 3.65 0.0719 0.03905 22 0
2938257191 14.03 12.69 0.3426 0.04038 15 4
2925608915 22.91 8.87 nan nan 15 0
2925825614 21.65 5.76 nan nan 8 7
2939018231 11.76 7.29 0.1249 0.03144 21 0
2940479063 21.38 10.14 nan nan 20 3
2925832941 40.09 12.36 nan nan 10 5
2938258860 nan nan 0 0 0 18
2925608973 83.37 27.72 nan nan 8 7
2940510474 24.57 8.52 nan nan 17 6
2939022323 87.0 12.22 nan nan 3 18
2939920457 32.74 9.38 nan nan 4 14
2938268146 10.09 3.98 0.0726 0.04094 15 1
2925835393 32.03 10.05 0.2846 0.19786 4 11
2938268450 23.64 8.14 nan nan 12 7
2925609647 nan nan 0 0 0 15
2939967017 14.74 7.32 0.2309 0.0338 19 1
2940545993 12.39 5.78 0.0754 0.04184 22 0
2939082045 11.07 2.74 0.1316 0.02832 21 0
2938268664 33.93 8.16 nan nan 8 10
2925836943 nan nan 0 0 0 12
2940550281 16.11 7.96 0.1332 0.04401 22 0
2938272159 22.74 10.44 nan nan 12 9
2970717582 13.07 6.25 0.1791 0.04621 18 2
2925842332 18.74 8.79 0.1146 0.07053 14 1
2939173668 30.76 11.08 0.0473 0.43844 9 8
2925619323 nan nan 0 0 0 15
2939975835 20.91 7.21 nan nan 14 4
2939178174 30.56 1.71 0.1786 0.29193 3 14
2970718160 19.06 6.66 nan nan 19 1
2925849629 9.03 3.83 nan nan 15 0
2939981369 29.07 6.56 nan nan 5 17
2940557913 31.64 10.85 nan nan 9 10
2938277264 16.25 7.7 nan nan 18 0
2939982720 25.58 7.27 nan nan 12 11
2970718395 20.08 9.75 nan nan 20 0
2940645467 19.12 2.07 nan nan 4 18
2938281666 21.59 6.92 0.5267 0.06178 11 9
2939985895 15.01 7.1 0.2212 0.03475 21 2
2940655235 52.15 6.76 nan nan 2 20
2939193043 48.52 17.06 nan nan 4 13
2925852612 31.17 7.43 nan nan 13 2
2938302270 21.46 10.81 0.1871 0.0926 11 5
2970730486 8.62 5.67 0.0422 0.04124 19 1
2939991554 17.99 9.61 nan nan 19 1
