Source_ID PerErr ErrStd Fvar FvarErr Good Bad
2925383757 7.69 3.73 0.0774 0.02924 14 2
2925344542 7.87 3.85 0.1464 0.02325 14 0
2925351861 16.86 4.17 nan nan 11 4
2925691335 11.23 2.79 0.0244 0.13793 9 5
2939653045 4.04 2.78 0.0456 0.01533 16 0
2925498049 10.95 4.52 0.0868 0.04788 11 5
2939665004 3.65 1.27 0.0601 0.00995 19 0
2970484876 17.53 3.08 nan nan 13 4
2970491912 20.34 6.11 0.0771 0.17617 5 14
2938951381 15.55 4.81 0.0093 0.53291 16 4
2925715024 7.27 2.69 0.259 0.01953 14 1
2937976373 8.32 2.58 0.0726 0.02513 18 0
2970543450 13.52 6.6 0.2979 0.05498 5 12
2925547862 9.35 4.4 nan nan 14 1
2925738634 14.66 5.03 0.0821 0.07287 13 2
2925748382 3.77 0.62 0.1227 0.01028 14 0
2970575166 4.55 2.82 0.0805 0.01193 19 0
2925552152 5.35 2.84 0.0953 0.01603 15 0
2938088395 5.59 1.41 0.0414 0.02027 15 0
2938089267 8.82 3.13 0.09 0.02846 16 0
2970604169 7.97 4.25 0.1585 0.0216 16 2
2925782272 11.97 4.48 nan nan 13 3
2925577248 10.28 5.11 0.1132 0.03288 14 0
2925785979 6.69 1.87 0.0627 0.02138 16 0
2925592857 12.28 3.72 0.0159 0.206 12 3
2938232574 5.49 2.26 0.068 0.01603 18 2
2925598080 11.65 4.25 0.0427 0.07093 14 1
2925793524 14.9 4.24 nan nan 14 2
2940424502 nan nan 0 0 0 21
2925798541 12.03 3.24 0.1137 0.04225 12 4
2939875865 5.78 1.87 0.1093 0.01481 17 0
2940443426 14.58 4.4 0.0813 0.06021 17 4
2938256039 5.31 1.29 0.0637 0.01378 21 1
2925826924 5.25 1.98 0.1185 0.01439 15 0
2925839697 12.04 6.61 nan nan 12 3
2925633662 12.44 2.98 0.106 0.05616 9 6
2939987113 nan nan 0 0 0 23
2938313335 10.15 3.02 0.1205 0.02812 18 1
2970738404 7.8 4.04 0.2018 0.02026 15 2
2925855116 10.48 3.67 0.2073 0.02826 14 1
2925858108 13.23 4.26 nan nan 14 1
2939270097 15.17 3.54 0.1368 0.06501 9 10
2925657995 11.27 5.16 0.0334 0.08714 14 2
2939279486 10.03 2.7 0.0779 0.03629 16 2
2970758215 nan nan 0 0 0 19
2940771836 17.82 3.5 nan nan 9 10
2938444601 9.28 4.14 0.0975 0.02461 22 0
2940089813 5.35 1.04 0.1063 0.01526 14 0
2938486225 5.96 1.88 0.0528 0.01706 21 0
2940843708 3.95 1.55 0.0601 0.0098 22 0
2940102912 8.67 2.6 0.1082 0.02746 14 0
2939388274 4.05 1.45 0.073 0.01021 19 0
2938634093 13.21 5.07 0.0864 0.04743 17 1
2970848737 10.86 5.38 0.1339 0.03183 17 1
2939399517 17.61 4.59 nan nan 2 16
2938650424 9.76 9.17 0.0534 0.04887 17 0
2940150436 nan nan 0 0 0 21
2940945814 12.05 4.22 0.1373 0.03223 19 1
2940164903 20.81 7.65 nan nan 18 4
2970328589 2.34 0.86 0.161 0.00565 19 0
2938681005 11.61 3.26 0.0765 0.04092 19 0
2939517578 6.92 3.65 0.0958 0.01844 18 0
2938879928 26.92 5.4 nan nan 4 14
2971028700 16.71 6.07 0.1114 0.07185 16 2
2971046252 6.54 1.74 0.1082 0.01625 19 0
2971056445 5.87 1.1 0.0645 0.01814 16 0
2971070875 14.26 3.04 nan nan 17 2
2971086054 11.87 6.66 0.1095 0.03729 19 0
2971134055 13.19 4.61 nan nan 16 2
2971137328 7.17 1.03 nan nan 17 0
2971211756 38.78 7.51 nan nan 16 1
2939644306 21.85 6.18 nan nan 6 12
