Source_ID PerErr ErrStd Fvar FvarErr Good Bad
2925366048 16.97 9.19 0.0851 0.07733 14 1
2925344837 10.63 3.98 0.0341 0.07107 14 1
2925360652 10.39 4.92 0.0854 0.03779 15 0
2925364422 13.47 7.14 0.0824 0.05369 14 1
2925365592 8.83 3.04 0.0751 0.03046 15 0
2925372393 16.96 7.65 nan nan 12 4
2925373860 35.73 11.31 nan nan 3 13
2925375402 15.67 13.81 0.1557 0.05106 15 1
2925385263 15.16 2.83 0.1452 0.05565 14 2
2925387121 5.56 2.87 0.078 0.01633 16 0
2925403880 22.35 5.0 nan nan 10 6
2925409884 21.7 5.22 nan nan 8 8
2925417118 19.91 9.06 0.221 0.05931 14 1
2925417838 10.03 4.48 0.1094 0.03291 15 0
2925424201 9.12 2.48 0.1114 0.03026 14 0
2925424419 6.4 2.01 0.1604 0.01996 14 0
2925428359 21.45 7.32 nan nan 14 2
2925441456 14.69 6.67 nan nan 15 1
2925447720 6.32 1.37 0.1836 0.0184 14 0
2925455117 18.2 7.73 0.1496 0.06475 15 0
2925458055 8.58 4.37 0.1644 0.0278 15 0
2925468106 10.88 5.86 0.0897 0.03688 16 0
2925469559 19.17 9.01 0.0358 0.21921 14 2
2925687796 24.24 13.0 0.2137 0.07843 12 3
2938917644 10.1 3.27 0.1148 0.0257 22 0
2925482770 33.19 10.22 nan nan 4 10
2937880615 11.46 2.79 0.1965 0.02903 17 0
2925693212 30.15 7.6 0.2111 0.13521 8 7
2925491917 21.92 8.78 0.1833 0.09043 8 7
2970441408 22.42 6.78 0.2486 0.08249 12 6
2937895789 6.79 1.18 0.1216 0.02015 14 0
2938921092 7.12 1.45 0.0591 0.02034 22 0
2925695437 16.9 9.55 0.2211 0.05077 14 1
2940260013 17.8 6.02 0.0531 0.10251 19 0
2925500893 21.2 12.05 0.2268 0.06621 12 3
2925696989 9.99 6.57 0.1445 0.02803 15 0
2938922254 10.08 1.73 0.042 0.04229 22 0
2970468384 8.05 3.16 0.0733 0.02455 19 0
2939671234 5.67 1.05 0.0945 0.01482 18 0
2925698263 16.98 5.73 nan nan 11 4
2970471108 16.4 7.22 nan nan 18 1
2937925886 15.33 3.39 nan nan 19 0
2939672018 23.72 7.73 0.2158 0.07176 17 2
2940272128 10.26 3.47 0.1773 0.02694 18 0
2938944476 13.65 3.94 0.0656 0.05627 19 1
2925707000 12.48 3.51 0.0591 0.06498 14 1
2925514922 14.15 8.18 nan nan 15 0
2938946981 18.56 7.75 0.2476 0.06131 10 10
2939672027 15.14 4.33 0.1017 0.04955 19 0
2939676101 19.23 6.06 nan nan 11 6
2937944931 10.02 1.62 nan nan 18 0
2925515125 15.16 5.11 0.2597 0.04609 14 1
2970530720 14.28 4.91 0.1572 0.04274 16 2
2940304200 22.88 12.04 0.0757 0.15286 12 5
2925731614 14.49 8.71 0.1742 0.04355 13 2
2938000350 12.1 4.55 0.1355 0.03462 20 0
2939683532 15.71 7.44 0.1361 0.04925 18 0
2940318743 6.69 3.1 0.1156 0.01817 15 0
2925520897 14.64 8.36 nan nan 16 0
2970565060 14.88 6.74 0.3377 0.03558 15 4
2940321777 nan nan 0 0 0 16
2939690689 7.11 2.05 0.0726 0.02074 18 0
2938049569 13.07 4.51 nan nan 16 0
2938969598 12.93 3.56 0.1128 0.03777 21 0
2925520996 8.92 5.23 0.1122 0.02559 16 0
2925733889 16.9 4.91 0.1798 0.05978 14 1
2970569124 15.54 10.71 0.2198 0.03718 18 2
2940327071 10.7 5.18 0.1894 0.02892 16 0
2939694336 12.03 7.73 0.1968 0.03018 19 0
2938055829 19.05 6.81 0.1251 0.06595 16 1
2925733976 7.4 5.04 0.099 0.02402 15 0
2970570091 22.22 7.86 nan nan 14 5
2939706815 12.58 7.82 0.2048 0.02893 17 0
2925551147 9.88 3.62 0.1321 0.02945 15 0
2940332845 10.8 3.28 0.1704 0.0296 17 0
